"","rate","approx_cost.for.two.people.","online_order","book_table","votes","listed_in.type.","listed_in.city.","Cuisines_Categorical","Restaurant_type"
"39",4.4,750,"Yes","No",4884,"Delivery","Banashankari","Indian","Casual Dining"
"40",4,150,"Yes","No",17,"Delivery","Banashankari","Indian","Quick Bites"
"41",3.8,200,"Yes","No",133,"Delivery","Banashankari","Fast Food","Quick Bites"
"42",3.9,300,"No","No",28,"Delivery","Banashankari","Indian","Mess"
"43",3.9,500,"Yes","No",286,"Delivery","Banashankari","Fast Food","Quick Bites"
"44",3.9,800,"Yes","No",540,"Delivery","Banashankari","Fast Food","Quick Bites"
"45",4.6,600,"Yes","Yes",2556,"Delivery","Banashankari","Bar Food","Cafe"
"46",3.8,400,"No","No",36,"Delivery","Banashankari","Indian","Delivery"
"47",3.6,300,"Yes","No",244,"Delivery","Banashankari","Indian","Quick Bites"
"48",4,450,"Yes","No",804,"Delivery","Banashankari","Indian","Casual Dining"
"49",3.7,850,"Yes","No",679,"Delivery","Banashankari","Asian","Casual Dining"
"50",3.1,300,"Yes","No",245,"Delivery","Banashankari","Indian","Quick Bites"
"51",3.7,450,"No","No",21,"Delivery","Banashankari","Indian","Quick Bites"
"52",4.1,150,"Yes","No",28,"Delivery","Banashankari","Fast Food","Quick Bites"
"53",4.3,400,"No","No",345,"Delivery","Banashankari","Dessert","Dessert Parlor"
"54",4,750,"Yes","No",618,"Delivery","Banashankari","Indian","Casual Dining"
"55",4,450,"No","No",1047,"Delivery","Banashankari","Asian","Quick Bites"
"56",3.9,450,"Yes","No",627,"Delivery","Banashankari","Indian","Delivery"
"57",3.8,300,"Yes","No",104,"Delivery","Banashankari","Indian","Quick Bites"
"58",4.2,800,"Yes","Yes",354,"Delivery","Banashankari","Asian","Casual Dining"
"59",3.6,200,"No","No",55,"Delivery","Banashankari","Fast Food","Quick Bites"
"60",3.7,400,"Yes","No",17,"Delivery","Banashankari","Dessert","Dessert Parlor"
"61",4.2,800,"No","No",244,"Delivery","Banashankari","Indian","Casual Dining"
"62",3.6,800,"Yes","Yes",163,"Delivery","Banashankari","Indian","Casual Dining"
"63",3.8,150,"Yes","No",58,"Delivery","Banashankari","Asian","Quick Bites"
"64",4,850,"No","Yes",808,"Delivery","Banashankari","Indian","Casual Dining"
"65",3.7,150,"No","No",78,"Delivery","Banashankari","Dessert","Bakery"
"66",4.1,400,"Yes","No",1720,"Delivery","Banashankari","Indian","Quick Bites"
"67",3.6,100,"Yes","No",34,"Delivery","Banashankari","Indian","Quick Bites"
"68",4.1,1200,"No","No",868,"Delivery","Banashankari","Indian","Pub"
"69",3.8,300,"No","No",39,"Delivery","Banashankari","Dessert","Bakery"
"70",3.2,600,"Yes","No",71,"Delivery","Banashankari","Fast Food","Quick Bites"
"71",3.6,500,"Yes","No",6,"Delivery","Banashankari","Indian","Delivery"
"72",4.1,300,"No","No",520,"Delivery","Banashankari","Indian","Quick Bites"
"73",2.9,700,"No","No",84,"Delivery","Banashankari","Indian","Delivery"
"74",3.6,300,"No","No",299,"Delivery","Banashankari","Asian","Quick Bites"
"75",4.1,150,"Yes","No",558,"Delivery","Banashankari","Indian","Quick Bites"
"76",3.6,300,"Yes","No",28,"Delivery","Banashankari","Indian","Quick Bites"
"77",3.7,500,"No","No",22,"Delivery","Banashankari","Fast Food","Quick Bites"
"78",3.8,350,"No","No",39,"Delivery","Banashankari","Indian","Quick Bites"
"79",3.8,500,"Yes","No",153,"Delivery","Banashankari","Indian","Fine Dining"
"80",4.2,400,"Yes","No",146,"Delivery","Banashankari","Dessert","Beverage Shop"
"81",3.5,200,"No","No",14,"Delivery","Banashankari","Indian","Sweet Shop"
"82",3.8,700,"No","No",42,"Delivery","Banashankari","Indian","Casual Dining"
"83",4,300,"No","No",66,"Delivery","Banashankari","Dessert","Bakery"
"84",4.4,600,"Yes","No",4401,"Delivery","Banashankari","Indian","Casual Dining"
"85",3.5,200,"No","No",31,"Delivery","Banashankari","Indian","Quick Bites"
"86",3.5,500,"No","No",7,"Delivery","Banashankari","Dessert","Dessert Parlor"
"87",3.7,250,"No","No",21,"Delivery","Banashankari","Indian","Quick Bites"
"88",3.2,300,"No","No",9,"Delivery","Banashankari","Dessert","Dessert Parlor"
"89",2.6,600,"No","No",283,"Delivery","Banashankari","Indian","Casual Dining"
"90",3.3,800,"No","No",62,"Delivery","Banashankari","Indian","Bar"
"91",3.8,250,"No","No",64,"Delivery","Banashankari","Fast Food","Quick Bites"
"92",3.7,950,"No","No",39,"Delivery","Banashankari","Indian","Casual Dining"
"93",3.7,300,"No","No",65,"Delivery","Banashankari","Fast Food","Quick Bites"
"94",3.8,400,"Yes","No",71,"Delivery","Banashankari","Bar Food","Dessert Parlor"
"95",3.5,300,"No","No",52,"Delivery","Banashankari","Indian","Quick Bites"
"96",3.7,200,"No","No",130,"Delivery","Banashankari","Indian","Quick Bites"
"97",3.5,300,"No","No",10,"Delivery","Banashankari","Indian","Quick Bites"
"98",3.8,400,"No","No",45,"Delivery","Banashankari","Dessert","Delivery"
"99",3.2,600,"No","No",11,"Delivery","Banashankari","Dessert","Cafe"
"100",3.5,300,"No","No",13,"Delivery","Banashankari","Dessert","Bakery"
"101",3.4,300,"No","No",8,"Delivery","Banashankari","Indian","Quick Bites"
"102",3.2,300,"No","No",9,"Delivery","Banashankari","Indian","Quick Bites"
"103",3.2,300,"No","No",4,"Delivery","Banashankari","Indian","Quick Bites"
"104",3.1,150,"No","No",29,"Delivery","Banashankari","Indian","Quick Bites"
"105",3.4,400,"No","No",8,"Delivery","Banashankari","Dessert","Bakery"
"106",3.1,1000,"No","No",30,"Delivery","Banashankari","Indian","Bar"
"107",4.1,300,"Yes","No",201,"Delivery","Banashankari","Indian","Quick Bites"
"108",3.3,200,"No","No",7,"Delivery","Banashankari","Indian","Quick Bites"
"109",3.1,100,"No","No",6,"Delivery","Banashankari","Indian","Quick Bites"
"110",3.3,200,"No","No",17,"Delivery","Banashankari","Fast Food","Quick Bites"
"111",2.9,200,"No","No",25,"Delivery","Banashankari","Dessert","Dessert Parlor"
"112",3.3,100,"No","No",8,"Delivery","Banashankari","Indian","Delivery"
"113",4,450,"Yes","No",771,"Delivery","Banashankari","Indian","Casual Dining"
"114",3,800,"No","No",98,"Delivery","Banashankari","Indian","Bar"
"115",3.9,200,"Yes","No",47,"Delivery","Banashankari","Indian","Quick Bites"
"116",4.1,500,"Yes","Yes",175,"Delivery","Banashankari","Indian","Casual Dining"
"117",3.8,300,"Yes","No",58,"Delivery","Banashankari","Indian","Quick Bites"
"118",3.8,650,"Yes","No",540,"Delivery","Banashankari","Indian","Casual Dining"
"119",3.8,400,"Yes","No",124,"Delivery","Banashankari","Indian","Quick Bites"
"120",4.1,500,"Yes","No",340,"Delivery","Banashankari","Indian","Delivery"
"121",3.8,450,"Yes","No",505,"Delivery","Banashankari","Fast Food","Quick Bites"
"122",4.1,500,"Yes","No",438,"Delivery","Banashankari","Fast Food","Dessert Parlor"
"123",3.7,750,"Yes","No",264,"Delivery","Banashankari","Indian","Casual Dining"
"124",3.9,150,"Yes","No",169,"Delivery","Banashankari","Dessert","Beverage Shop"
"125",3,250,"Yes","No",67,"Delivery","Banashankari","Indian","Quick Bites"
"126",3.7,350,"Yes","No",97,"Delivery","Banashankari","Indian","Quick Bites"
"127",3.3,300,"Yes","No",12,"Delivery","Banashankari","Indian","Delivery"
"128",3.3,300,"Yes","No",12,"Delivery","Banashankari","Indian","Quick Bites"
"129",3.6,800,"Yes","No",195,"Delivery","Banashankari","Indian","Casual Dining"
"130",3.3,300,"Yes","No",13,"Delivery","Banashankari","Indian","Dessert Parlor"
"131",4.6,400,"Yes","No",228,"Delivery","Banashankari","Dessert","Cafe"
"132",4.1,150,"Yes","No",70,"Delivery","Banashankari","Indian","Quick Bites"
"133",4.1,1200,"Yes","Yes",364,"Delivery","Banashankari","Asian","Casual Dining"
"134",3.7,150,"Yes","No",107,"Delivery","Banashankari","Dessert","Beverage Shop"
"135",3.2,300,"Yes","No",167,"Delivery","Banashankari","Indian","Quick Bites"
"136",4,400,"Yes","No",115,"Delivery","Banashankari","Indian","Sweet Shop"
"137",3.7,400,"Yes","No",27,"Delivery","Banashankari","Bar Food","Delivery"
"138",3.5,200,"Yes","No",57,"Delivery","Banashankari","Indian","Quick Bites"
"139",3.8,250,"Yes","No",120,"Delivery","Banashankari","Indian","Quick Bites"
"140",3.8,400,"Yes","No",15,"Delivery","Banashankari","Dessert","Bakery"
"141",4.2,500,"Yes","No",64,"Delivery","Banashankari","Bar Food","Quick Bites"
"142",3.6,150,"Yes","No",66,"Delivery","Banashankari","Indian","Quick Bites"
"143",3,450,"Yes","No",290,"Delivery","Banashankari","Indian","Quick Bites"
"144",4.1,200,"Yes","No",233,"Delivery","Banashankari","Fast Food","Quick Bites"
"145",3.8,250,"Yes","No",115,"Delivery","Banashankari","Fast Food","Quick Bites"
"146",3.1,700,"Yes","No",119,"Delivery","Banashankari","Indian","Casual Dining"
"147",3.9,650,"Yes","Yes",291,"Delivery","Banashankari","Bar Food","Cafe"
"148",4.5,300,"Yes","No",155,"Delivery","Banashankari","Bar Food","Beverage Shop"
"149",4.1,700,"Yes","No",305,"Delivery","Banashankari","European","Casual Dining"
"150",3.6,500,"Yes","No",46,"Delivery","Banashankari","Fast Food","Quick Bites"
"151",3.5,350,"Yes","No",45,"Delivery","Banashankari","Indian","Quick Bites"
"152",3.9,150,"Yes","No",38,"Delivery","Banashankari","Dessert","Dessert Parlor"
"153",3.9,400,"Yes","No",441,"Delivery","Banashankari","Indian","Quick Bites"
"154",3.9,100,"Yes","No",25,"Delivery","Banashankari","Indian","Quick Bites"
"155",4.3,200,"Yes","No",630,"Delivery","Banashankari","Indian","Quick Bites"
"156",3.8,150,"Yes","No",25,"Delivery","Banashankari","Indian","Quick Bites"
"157",3.9,300,"Yes","No",160,"Delivery","Banashankari","Middle Eastern","Quick Bites"
"158",4.2,350,"Yes","No",287,"Delivery","Banashankari","Indian","Quick Bites"
"159",3.6,100,"Yes","No",11,"Delivery","Banashankari","Indian","Quick Bites"
"160",4.1,500,"Yes","No",402,"Delivery","Banashankari","Dessert","Cafe"
"161",3.8,750,"Yes","No",469,"Delivery","Banashankari","Indian","Casual Dining"
"162",3.3,550,"Yes","No",511,"Delivery","Banashankari","Indian","Casual Dining"
"163",3.9,200,"Yes","No",57,"Delivery","Banashankari","Indian","Quick Bites"
"164",3.4,300,"Yes","No",14,"Delivery","Banashankari","Indian","Quick Bites"
"165",3.9,200,"Yes","No",264,"Delivery","Banashankari","Indian","Quick Bites"
"166",3,400,"Yes","No",62,"Delivery","Banashankari","Indian","Cafe"
"167",3.8,750,"Yes","No",693,"Delivery","Banashankari","Fast Food","Casual Dining"
"168",3.8,650,"Yes","No",242,"Delivery","Banashankari","Indian","Casual Dining"
"169",3.6,250,"Yes","No",27,"Delivery","Banashankari","Fast Food","Dessert Parlor"
"170",4.1,500,"Yes","No",163,"Delivery","Banashankari","Asian","Quick Bites"
"171",4.2,250,"Yes","No",191,"Delivery","Banashankari","Fast Food","Quick Bites"
"172",3.5,150,"Yes","No",32,"Delivery","Banashankari","Fast Food","Quick Bites"
"173",2.5,500,"Yes","No",247,"Delivery","Banashankari","Indian","Casual Dining"
"174",4.1,1500,"Yes","Yes",2339,"Delivery","Banashankari","Indian","Casual Dining"
"175",4.1,300,"Yes","No",337,"Delivery","Banashankari","Asian","Quick Bites"
"176",3.9,800,"Yes","No",135,"Delivery","Banashankari","Indian","Casual Dining"
"177",3.6,700,"Yes","No",172,"Delivery","Banashankari","Indian","Casual Dining"
"178",3.6,700,"Yes","No",105,"Delivery","Banashankari","Asian","Casual Dining"
"179",4.2,550,"Yes","No",504,"Delivery","Banashankari","Asian","Cafe"
"180",3.2,200,"Yes","No",36,"Delivery","Banashankari","Fast Food","Quick Bites"
"181",3.1,300,"Yes","No",39,"Delivery","Banashankari","Indian","Quick Bites"
"182",3.1,500,"Yes","No",5,"Delivery","Banashankari","Indian","Casual Dining"
"183",4.3,1300,"Yes","Yes",1129,"Delivery","Banashankari","European","Casual Dining"
"184",3.9,350,"Yes","No",56,"Delivery","Banashankari","Indian","Quick Bites"
"185",4.3,500,"Yes","No",860,"Delivery","Banashankari","Dessert","Dessert Parlor"
"186",3.8,700,"Yes","No",412,"Delivery","Banashankari","Indian","Casual Dining"
"187",3.9,1000,"Yes","Yes",142,"Delivery","Banashankari","Indian","Casual Dining"
"188",3,400,"Yes","No",23,"Delivery","Banashankari","Indian","Quick Bites"
"189",3.6,750,"Yes","No",143,"Delivery","Banashankari","Indian","Casual Dining"
"190",2.8,500,"Yes","Yes",80,"Delivery","Banashankari","Indian","Casual Dining"
"191",3.6,400,"Yes","No",16,"Delivery","Banashankari","Indian","Casual Dining"
"192",4.4,250,"Yes","No",181,"Delivery","Banashankari","Dessert","Beverage Shop"
"193",3.8,200,"Yes","No",70,"Delivery","Banashankari","Indian","Quick Bites"
"194",3.8,600,"Yes","No",164,"Delivery","Banashankari","Bar Food","Quick Bites"
"195",3.6,650,"Yes","No",58,"Delivery","Banashankari","Bar Food","Quick Bites"
"196",3.8,550,"No","No",148,"Delivery","Banashankari","Indian","Cafe"
"197",3.9,450,"No","No",206,"Delivery","Banashankari","Indian","Quick Bites"
"198",3.6,300,"No","No",16,"Delivery","Banashankari","Indian","Quick Bites"
"199",3.7,450,"No","No",217,"Delivery","Banashankari","Indian","Casual Dining"
"200",3.6,450,"No","No",46,"Delivery","Banashankari","Indian","Quick Bites"
"201",3.8,150,"No","No",148,"Delivery","Banashankari","Fast Food","Quick Bites"
"202",3.4,250,"No","No",30,"Delivery","Banashankari","Dessert","Dessert Parlor"
"203",3.6,800,"No","No",8,"Delivery","Banashankari","Indian","Casual Dining"
"204",3.3,250,"No","No",4,"Delivery","Banashankari","Indian","Quick Bites"
"205",3.5,400,"No","No",15,"Delivery","Banashankari","Dessert","Bakery"
"206",3.4,200,"Yes","No",9,"Delivery","Banashankari","Fast Food","Quick Bites"
"207",3.7,300,"Yes","No",31,"Delivery","Banashankari","Indian","Quick Bites"
"208",2.9,700,"Yes","No",177,"Delivery","Banashankari","Indian","Casual Dining"
"209",3.7,250,"Yes","No",22,"Delivery","Banashankari","Indian","Sweet Shop"
"210",3.5,100,"Yes","No",10,"Delivery","Banashankari","Dessert","Beverage Shop"
"211",3.7,600,"Yes","No",136,"Delivery","Banashankari","Fast Food","Quick Bites"
"212",2.9,250,"Yes","No",35,"Delivery","Banashankari","Indian","Quick Bites"
"213",4.1,200,"Yes","No",185,"Delivery","Banashankari","Dessert","Quick Bites"
"214",3.2,900,"Yes","No",17,"Delivery","Banashankari","Fast Food","Cafe"
"215",3.8,400,"Yes","No",155,"Delivery","Banashankari","Indian","Casual Dining"
"216",3.8,300,"Yes","No",42,"Delivery","Banashankari","Indian","Quick Bites"
"217",3.8,600,"Yes","No",286,"Delivery","Banashankari","Indian","Casual Dining"
"218",3.8,700,"Yes","No",160,"Delivery","Banashankari","Indian","Casual Dining"
"219",3.8,750,"Yes","No",59,"Delivery","Banashankari","Indian","Casual Dining"
"220",3.5,500,"Yes","No",90,"Delivery","Banashankari","Indian","Casual Dining"
"221",3.7,350,"Yes","No",51,"Delivery","Banashankari","Indian","Quick Bites"
"222",4,200,"Yes","No",89,"Delivery","Banashankari","Indian","Quick Bites"
"223",3.6,250,"Yes","No",18,"Delivery","Banashankari","Fast Food","Quick Bites"
"224",3.9,600,"Yes","No",40,"Delivery","Banashankari","Indian","Casual Dining"
"225",2.5,200,"Yes","No",35,"Delivery","Banashankari","Fast Food","Quick Bites"
"226",3.4,250,"Yes","No",89,"Delivery","Banashankari","Indian","Quick Bites"
"227",3.2,150,"Yes","No",11,"Delivery","Banashankari","Fast Food","Quick Bites"
"228",3.6,600,"Yes","No",62,"Delivery","Banashankari","Fast Food","Cafe"
"229",3.9,300,"Yes","No",33,"Delivery","Banashankari","Dessert","Dessert Parlor"
"230",3.8,250,"Yes","No",32,"Delivery","Banashankari","Indian","Sweet Shop"
"231",4.1,550,"Yes","No",139,"Delivery","Banashankari","Indian","Casual Dining"
"232",3.2,300,"Yes","No",154,"Delivery","Banashankari","Fast Food","Quick Bites"
"233",3.6,350,"Yes","No",14,"Delivery","Banashankari","Dessert","Bakery"
"234",3.7,200,"Yes","No",237,"Delivery","Banashankari","Indian","Quick Bites"
"235",3.9,650,"Yes","No",388,"Delivery","Banashankari","Indian","Casual Dining"
"236",3.9,500,"Yes","No",128,"Delivery","Banashankari","Indian","Casual Dining"
"237",4.1,1200,"Yes","Yes",1875,"Delivery","Banashankari","Indian","Casual Dining"
"238",3.8,650,"Yes","No",90,"Delivery","Banashankari","Dessert","Cafe"
"239",3.1,250,"Yes","No",7,"Delivery","Banashankari","Asian","Quick Bites"
"240",3.7,400,"Yes","No",38,"Delivery","Banashankari","Indian","Casual Dining"
"241",4.2,600,"Yes","No",179,"Delivery","Banashankari","Bar Food","Delivery"
"242",4,250,"Yes","No",43,"Delivery","Banashankari","Dessert","Dessert Parlor"
"243",4.3,100,"Yes","No",275,"Delivery","Banashankari","Indian","Quick Bites"
"244",3.7,850,"Yes","No",323,"Delivery","Banashankari","Asian","Casual Dining"
"245",3.1,400,"Yes","No",28,"Delivery","Banashankari","Indian","Casual Dining"
"246",3.9,200,"Yes","No",18,"Delivery","Banashankari","Indian","Quick Bites"
"247",3.3,100,"Yes","No",6,"Delivery","Banashankari","Fast Food","Quick Bites"
"248",4.3,400,"Yes","No",322,"Delivery","Banashankari","Indian","Casual Dining"
"249",2.6,450,"Yes","No",157,"Delivery","Banashankari","American","Cafe"
"250",3.9,300,"Yes","No",543,"Delivery","Banashankari","Indian","Quick Bites"
"251",3.7,500,"Yes","No",180,"Delivery","Banashankari","Fast Food","Cafe"
"252",4.2,100,"Yes","No",444,"Delivery","Banashankari","Indian","Quick Bites"
"253",3.9,400,"Yes","No",134,"Delivery","Banashankari","Indian","Quick Bites"
"254",3.8,900,"Yes","No",577,"Delivery","Banashankari","Indian","Casual Dining"
"255",4.2,200,"Yes","No",60,"Delivery","Banashankari","Indian","Quick Bites"
"256",3.9,550,"Yes","No",144,"Delivery","Banashankari","Indian","Casual Dining"
"257",4.1,800,"Yes","No",787,"Delivery","Banashankari","Indian","Casual Dining"
"258",3.6,200,"Yes","No",16,"Delivery","Banashankari","Indian","Quick Bites"
"259",3.6,250,"Yes","No",84,"Delivery","Banashankari","Indian","Quick Bites"
"260",3.6,150,"Yes","No",95,"Delivery","Banashankari","Indian","Quick Bites"
"261",4,1200,"Yes","Yes",349,"Delivery","Banashankari","Indian","Casual Dining"
"262",3.7,400,"Yes","No",248,"Delivery","Banashankari","Indian","Quick Bites"
"263",4.1,500,"Yes","No",216,"Delivery","Banashankari","Dessert","Cafe"
"264",4,700,"Yes","No",324,"Delivery","Banashankari","Dessert","Cafe"
"265",2.6,400,"Yes","No",231,"Delivery","Banashankari","Indian","Quick Bites"
"266",3.4,400,"Yes","No",102,"Delivery","Banashankari","Indian","Casual Dining"
"267",3.9,800,"Yes","No",133,"Delivery","Banashankari","Asian","Cafe"
"268",2.8,800,"Yes","No",45,"Delivery","Banashankari","Bar Food","Casual Dining"
"269",3.9,300,"Yes","No",149,"Delivery","Banashankari","Asian","Quick Bites"
"270",3.8,200,"Yes","No",75,"Delivery","Banashankari","Asian","Quick Bites"
"271",4,600,"Yes","No",53,"Delivery","Banashankari","Mexican","Delivery"
"272",4.2,900,"Yes","Yes",815,"Delivery","Banashankari","Indian","Casual Dining"
"273",4,800,"Yes","Yes",633,"Delivery","Banashankari","Indian","Casual Dining"
"274",3.5,400,"Yes","No",56,"Delivery","Banashankari","Dessert","Dessert Parlor"
"275",3,300,"Yes","No",82,"Delivery","Banashankari","Indian","Quick Bites"
"276",3.7,200,"Yes","No",35,"Delivery","Banashankari","Fast Food","Quick Bites"
"277",3.6,150,"Yes","No",20,"Delivery","Banashankari","Fast Food","Quick Bites"
"278",3.1,250,"Yes","No",14,"Delivery","Banashankari","Indian","Quick Bites"
"279",3.9,400,"Yes","No",70,"Delivery","Banashankari","Fast Food","Dessert Parlor"
"280",3.9,300,"Yes","No",91,"Delivery","Banashankari","Asian","Cafe"
"281",3.6,200,"Yes","No",45,"Delivery","Banashankari","Indian","Quick Bites"
"282",3.4,250,"Yes","No",7,"Delivery","Banashankari","Indian","Quick Bites"
"283",3.8,150,"Yes","No",28,"Delivery","Banashankari","Fast Food","Quick Bites"
"284",3.6,600,"Yes","No",24,"Delivery","Banashankari","Indian","Casual Dining"
"285",3.8,200,"Yes","No",36,"Delivery","Banashankari","Asian","Dessert Parlor"
"286",3.5,200,"Yes","No",11,"Delivery","Banashankari","Fast Food","Quick Bites"
"287",3.8,650,"Yes","No",77,"Delivery","Banashankari","Fast Food","Cafe"
"288",3.2,100,"Yes","No",8,"Delivery","Banashankari","Indian","Sweet Shop"
"289",3.7,100,"Yes","No",14,"Delivery","Banashankari","Indian","Quick Bites"
"290",3.8,600,"Yes","No",210,"Delivery","Banashankari","Indian","Casual Dining"
"291",4.1,650,"Yes","No",130,"Delivery","Banashankari","Bar Food","Cafe"
"292",4.1,100,"Yes","No",30,"Delivery","Banashankari","Dessert","Beverage Shop"
"293",3.8,700,"Yes","No",144,"Delivery","Banashankari","Asian","Cafe"
"294",3.4,800,"Yes","No",11,"Delivery","Banashankari","Indian","Bar"
"295",3.7,700,"Yes","No",133,"Delivery","Banashankari","Indian","Casual Dining"
"296",4,350,"Yes","No",136,"Delivery","Banashankari","Indian","Quick Bites"
"297",3.1,200,"Yes","No",4,"Delivery","Banashankari","Indian","Quick Bites"
"298",3.5,200,"Yes","No",11,"Delivery","Banashankari","Indian","Quick Bites"
"299",3.8,300,"Yes","No",74,"Delivery","Banashankari","Indian","Quick Bites"
"300",3.7,300,"Yes","No",30,"Delivery","Banashankari","Indian","Quick Bites"
"301",3,200,"Yes","No",7,"Delivery","Banashankari","Indian","Quick Bites"
"302",3.8,200,"Yes","No",75,"Delivery","Banashankari","Indian","Cafe"
"303",3.7,600,"Yes","No",54,"Delivery","Banashankari","Dessert","Cafe"
"304",3.6,100,"Yes","No",23,"Delivery","Banashankari","Dessert","Kiosk"
"305",3.2,400,"Yes","No",119,"Delivery","Banashankari","Indian","Casual Dining"
"306",3.7,400,"Yes","No",73,"Delivery","Banashankari","Indian","Quick Bites"
"307",3.4,400,"Yes","No",58,"Delivery","Banashankari","Fast Food","Cafe"
"308",3.6,600,"Yes","No",129,"Delivery","Banashankari","Indian","Casual Dining"
"309",3.6,250,"Yes","No",24,"Delivery","Banashankari","Indian","Quick Bites"
"310",3,400,"Yes","No",175,"Delivery","Banashankari","Indian","Quick Bites"
"311",3.7,300,"Yes","No",21,"Delivery","Banashankari","Indian","Quick Bites"
"312",3.5,400,"Yes","No",41,"Delivery","Banashankari","Fast Food","Food Truck"
"313",3.6,300,"Yes","No",35,"Delivery","Banashankari","Indian","Quick Bites"
"314",4.1,800,"Yes","No",176,"Delivery","Banashankari","Indian","Casual Dining"
"315",3.5,300,"Yes","No",45,"Delivery","Banashankari","Fast Food","Beverage Shop"
"316",3.7,400,"Yes","No",47,"Delivery","Banashankari","Fast Food","Dessert Parlor"
"317",3.7,650,"Yes","Yes",36,"Delivery","Banashankari","Indian","Casual Dining"
"318",3.8,400,"Yes","No",52,"Delivery","Banashankari","Fast Food","Beverage Shop"
"319",2.7,200,"Yes","No",123,"Delivery","Banashankari","Fast Food","Quick Bites"
"320",3.6,700,"Yes","No",59,"Delivery","Banashankari","Indian","Casual Dining"
"321",3.2,300,"Yes","No",4,"Delivery","Banashankari","Indian","Quick Bites"
"322",3.8,400,"Yes","No",101,"Delivery","Banashankari","Indian","Quick Bites"
"323",3.7,400,"Yes","No",54,"Delivery","Banashankari","Dessert","Beverage Shop"
"324",3.6,200,"Yes","No",22,"Delivery","Banashankari","Fast Food","Quick Bites"
"325",3.1,250,"Yes","No",31,"Delivery","Banashankari","Asian","Takeaway"
"326",3,500,"Yes","No",29,"Delivery","Banashankari","Asian","Cafe"
"327",3.4,100,"Yes","No",6,"Delivery","Banashankari","Dessert","Beverage Shop"
"328",3,250,"Yes","No",22,"Delivery","Banashankari","Indian","Quick Bites"
"329",2.9,500,"Yes","No",11,"Delivery","Banashankari","Indian","Quick Bites"
"330",3.9,150,"Yes","No",101,"Delivery","Banashankari","Indian","Quick Bites"
"331",4.1,1200,"Yes","Yes",442,"Delivery","Banashankari","Fast Food","Casual Dining"
